phase	revision	gate_action	cleanup_signals	source_window	model_input	model_output	segment_result	final_outcome	reject_reasons	gate_reasons	strict_placeholders
final	51	refine	numeric_normalization	但百分之三十四的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比一九九八年还要更低两米。不过，	但百分之三十四的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比一九九八年还要更低两米。不过，	但34%的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比1998年还要低2米。不过，<KEY>[三峡、荆江]	但34%的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比1998年还要更低2米。不过，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	false
final	51	refine	numeric_normalization	但百分之三十四的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比一九九八年还要更低两米。不过，	但百分之三十四的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比一九九八年还要更低两米。不过，	但34%的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比1998年还要低2米。不过，<KEY>[三峡、荆江]	但34%的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比1998年还要更低2米。不过，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	true
final	51	refine	numeric_normalization	存蓄洪水的能力相当于二点六个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于二点六个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于2.6三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于2.6个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	rejected	segment_1:numeric_value_mismatch	cleanup_signal_present	false
final	51	refine	numeric_normalization	存蓄洪水的能力相当于二点六个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于二点六个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于2.6三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于2.6个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	rejected	segment_1:numeric_value_mismatch	cleanup_signal_present	true
final	51	refine	numeric_normalization	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者也在试图建立中国江河的数字模型。	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	false
final	51	refine	numeric_normalization	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者也在试图建立中国江河的数字模型。	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	true
final	51	refine	repeated_phrase,numeric_normalization	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	13级泵站向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交。<KEY>[水上立交]	13级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	false
final	51	refine	repeated_phrase,numeric_normalization	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	13级泵站向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交。<KEY>[水上立交]	13级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	true
final	51	refine	numeric_normalization	让沿线的四十四座城市和一点七亿人口用上了长江水。今天，在现代科技的加持下，	让沿线的四十四座城市和一点七亿人口用上了长江水。今天，在现代科技的加持下，	让沿线的44座城市和1.7亿元人口用上了长江水。今天，在现代科技的加持下。	让沿线的44座城市和1.7亿人口用上了长江水。今天，在现代科技的加持下，	rejected	segment_1:numeric_value_mismatch	cleanup_signal_present	false
final	51	refine	numeric_normalization	让沿线的四十四座城市和一点七亿人口用上了长江水。今天，在现代科技的加持下，	让沿线的四十四座城市和一点七亿人口用上了长江水。今天，在现代科技的加持下，	让沿线的44座城市和1.7亿元人口用上了长江水。今天，在现代科技的加持下。	让沿线的44座城市和1.7亿人口用上了长江水。今天，在现代科技的加持下，	rejected	segment_1:numeric_value_mismatch	cleanup_signal_present	true
final	51	refine	numeric_normalization	为黄河补给了超过百分之四十的水量。但你知道吗？在上世纪末，	为黄河补给了超过百分之四十的水量。但你知道吗？在上世纪末，	为黄河补给了超过40%的水量。但你知道吗？在最后 decade。	为黄河补给了超过40%的水量。但你知道吗？在上世纪末，	rejected	segment_1:severe_content_loss,segment_1:numeric_value_mismatch	cleanup_signal_present	false
final	51	refine	numeric_normalization	为黄河补给了超过百分之四十的水量。但你知道吗？在上世纪末，	为黄河补给了超过百分之四十的水量。但你知道吗？在上世纪末，	为黄河补给了超过40%的水量。但你知道吗？在最后十年。	为黄河补给了超过40%的水量。但你知道吗？在上世纪末，	rejected	segment_1:severe_content_loss,segment_1:numeric_value_mismatch	cleanup_signal_present	true
